ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
1,0,0,2,1
56,0,0,2,1
102,0,0,2,1
112,0,0,2,1
120,0,0,2,1
127,0,0,2,1
135,0,0,2,1
141,0,0,2,1
150,0,0,2,1
156,0,0,2,1
164,0,0,2,1
171,0,0,2,1
181,0,0,2,1
188,0,0,2,1
196,0,0,2,1
203,0,0,2,1
210,0,0,2,1
217,0,0,2,1
224,0,0,2,1
233,0,0,2,1
240,0,0,2,1
247,0,0,2,1
254,0,0,2,1
262,0,0,2,1
270,0,0,2,1
276,0,0,2,1
284,0,0,2,1
289,0,0,2,1
297,0,0,2,1
304,0,0,2,1
312,0,0,2,1
320,0,0,2,1
329,0,0,2,1
336,0,0,2,1
343,0,0,2,1
352,0,0,2,1
360,0,0,2,1
368,0,0,2,1
374,0,0,2,1
384,0,0,2,1
390,0,0,2,1
398,0,0,2,1
405,0,0,2,1
413,0,0,2,1
421,0,0,2,1
429,0,0,2,1
436,0,0,2,1
444,0,0,2,1
451,0,0,2,1
457,0,0,2,1
466,0,0,2,1
472,0,0,2,1
481,0,0,2,1
488,0,0,2,1
496,0,0,2,1
503,0,0,2,1
510,0,0,2,1
519,0,0,2,1
526,0,0,2,1
535,0,0,2,1
544,0,0,2,1
551,0,0,2,1
557,0,0,2,1
567,0,0,2,1
573,0,0,2,1
584,0,0,2,1
589,0,0,2,1
597,0,0,2,1
604,0,0,2,1
611,0,0,2,1
619,0,0,2,1
627,0,0,2,1
636,0,0,2,1
645,0,0,2,1
652,0,0,2,1
659,0,0,2,1
670,0,0,2,1
676,0,0,2,1
686,0,0,2,1
693,0,0,2,1
703,0,0,2,1
711,0,0,2,1
719,0,0,2,1
726,0,0,2,1
734,0,0,2,1
740,0,0,2,1
748,0,0,2,1
755,0,0,2,1
763,0,0,2,1
770,0,0,2,1
777,0,0,2,1
785,0,0,2,1
791,0,0,2,1
799,0,0,2,1
805,0,0,2,1
814,0,0,2,1
821,0,0,2,1
828,0,0,2,1
836,0,0,2,1
843,0,0,2,1
851,0,0,2,1
857,0,0,2,1
866,0,0,2,1
872,0,0,2,1
882,0,0,2,1
887,0,0,2,1
894,0,0,2,1
902,0,0,2,1
907,0,0,2,1
915,0,0,2,1
922,0,0,2,1
930,0,0,2,1
936,0,0,2,1
944,0,0,2,1
951,0,0,2,1
957,0,0,2,1
965,0,0,2,1
972,0,0,2,1
980,1,1,2,1
986,1,1,2,1
993,1,1,2,1
1003,1,1,2,1
1009,1,1,2,1
1017,1,1,2,1
1024,1,1,2,1
1032,1,1,2,1
1038,1,1,2,1
1050,1,1,2,1
1061,1,1,2,1
1067,1,1,2,1
1074,1,1,2,1
1082,1,1,2,1
1088,1,1,2,1
1096,1,1,2,1
1103,1,1,2,1
1109,1,1,2,1
1117,1,1,2,1
1128,1,1,2,1
1136,1,1,2,1
1143,1,1,2,1
1152,1,1,2,1
1158,1,1,2,1
1168,1,1,2,1
1173,1,1,2,1
1183,1,1,2,1
1189,1,1,2,1
1197,1,1,2,1
1205,1,1,2,1
1212,1,1,2,1
1220,1,1,2,1
1226,1,1,2,1
1233,1,1,2,1
1240,1,1,2,1
1248,1,1,2,1
1254,1,1,2,1
1262,1,1,2,1
1269,1,1,2,1
1275,1,1,2,1
1284,1,1,2,1
1290,1,1,2,1
1298,1,1,2,1
1305,1,1,2,1
1313,1,1,2,1
1320,1,1,2,1
1326,1,1,2,1
1334,1,1,2,1
1341,1,1,2,1
1349,1,1,2,1
1355,1,1,2,1
1363,1,1,2,1
1370,1,1,2,1
1379,1,1,2,1
1386,1,1,2,1
1392,1,1,2,1
1400,1,1,2,1
1406,1,1,2,1
1415,1,1,2,1
1421,1,1,2,1
1429,1,1,2,1
1435,1,1,2,1
1443,1,1,2,1
1451,1,1,2,1
1456,1,1,2,1
1464,1,1,2,1
1471,1,1,2,1
1479,1,1,2,1
1486,1,1,2,1
1492,1,1,2,1
1503,1,1,2,1
1508,1,1,2,1
1517,1,1,2,1
1525,1,1,2,1
1533,1,1,2,1
1539,1,1,2,1
1547,1,1,2,1
1554,1,1,2,1
1561,1,1,2,1
1569,1,1,2,1
1574,1,1,2,1
1582,1,1,2,1
1588,1,1,2,1
1596,1,1,2,1
1603,1,1,2,1
1609,1,1,2,1
1618,1,1,2,1
1624,1,1,2,1
1633,1,1,2,1
1639,1,1,2,1
1646,1,1,2,1
1653,1,1,2,1
1659,1,1,2,1
1668,1,1,2,1
1673,1,1,2,1
1682,1,1,2,1
1688,1,1,2,1
1695,1,1,2,1
1702,1,1,2,1
1708,1,1,2,1
1715,1,1,2,1
1722,1,1,2,1
1729,1,1,2,1
1736,1,1,2,1
1742,1,1,2,1
1750,1,1,2,1
1755,1,1,2,1
1763,1,1,2,1
1771,1,1,2,1
1780,1,1,2,1
1786,1,1,2,1
1792,1,1,2,1
1800,1,1,2,1
1806,1,1,2,1
1815,1,1,2,1
1822,1,1,2,1
1830,1,1,2,1
1836,1,1,2,1
1843,1,1,2,1
1851,1,1,2,1
1857,1,1,2,1
1866,1,1,2,1
1872,1,1,2,1
1880,1,1,2,1
1887,1,1,2,1
1894,1,1,2,1
1902,1,1,2,1
1908,1,1,2,1
1917,1,1,2,1
1924,1,1,2,1
1932,1,1,2,1
1938,1,1,2,1
1946,1,1,2,1
1953,1,1,2,1
1962,1,1,2,1
1970,1,1,2,1
1978,1,1,2,1
1986,1,1,2,1
1991,1,1,2,1
2001,1,1,2,1
2006,1,1,2,1
2014,1,1,2,1
2022,1,1,2,1
2029,1,1,2,1
2036,1,1,2,1
2043,1,1,2,1
2051,1,1,2,1
2057,1,1,2,1
2066,1,1,2,1
2072,1,1,2,1
2080,1,1,2,1
2087,1,1,2,1
2095,1,1,2,1
2102,1,1,2,1
2113,1,1,2,1
2124,1,1,2,1
2135,2,1,2,1
2142,2,1,2,1
2153,2,1,2,1
2160,2,1,2,1
2168,2,1,2,1
2174,2,1,2,1
2182,2,1,2,1
2189,2,1,2,1
2196,2,1,2,1
2203,2,1,2,1
2209,2,1,2,1
2217,2,1,2,1
2224,2,1,2,1
2232,2,1,2,1
2239,2,1,2,1
2248,2,1,2,1
2255,2,1,2,1
2264,2,1,2,1
2270,2,1,2,1
2278,2,1,2,1
2285,2,1,2,1
2292,2,1,2,1
2301,2,1,2,1
2307,2,1,2,1
2315,2,1,2,1
2322,2,1,2,1
2331,2,1,2,1
2337,2,1,2,1
2345,2,1,2,1
2354,2,1,2,1
2363,2,1,2,1
2369,2,1,2,1
2375,2,1,2,1
2384,2,1,2,1
2390,2,1,2,1
2398,2,1,2,1
2405,2,1,2,1
2413,2,1,2,1
2420,2,1,2,1
2426,2,1,2,1
2435,2,1,2,1
2441,2,1,2,1
2449,2,1,2,1
2455,2,1,2,1
2463,2,1,2,1
2470,2,1,2,1
2478,2,1,2,1
2486,2,1,2,1
2491,2,1,2,1
2500,2,1,2,1
2506,2,1,2,1
2514,2,1,2,1
2521,2,1,2,1
2529,2,1,2,1
2536,2,1,2,1
2543,2,1,2,1
2552,2,1,2,1
2558,2,1,2,1
2567,2,1,2,1
2574,2,1,2,1
2583,2,1,2,1
2590,2,1,2,1
2597,2,1,2,1
2604,2,1,2,1
2611,2,1,2,1
2618,2,1,2,1
2624,2,1,2,1
2631,2,1,2,1
2637,2,1,2,1
2645,2,1,2,1
2652,2,1,2,1
2657,2,1,2,1
2665,2,1,2,1
2672,2,1,2,1
2680,2,1,2,1
2686,2,1,2,1
2692,2,1,2,1
2701,2,1,2,1
2711,2,1,2,1
2717,2,1,2,1
2723,2,1,2,1
2731,2,1,2,1
2737,2,1,2,1
2745,2,1,2,1
2752,2,1,2,1
2757,2,1,2,1
2767,2,1,2,1
2772,2,1,2,1
2780,2,1,2,1
2787,2,1,2,1
2795,2,1,2,1
2802,2,1,2,1
2808,2,1,2,1
2816,2,1,2,1
2822,2,1,2,1
2830,2,1,2,1
2837,2,1,2,1
2844,2,1,2,1
2851,2,1,2,1
2857,2,1,2,1
2865,2,1,2,1
2872,2,1,2,1
2880,2,1,2,1
2887,2,1,2,1
2895,2,1,2,1
2902,2,1,2,1
2910,2,1,2,1
2918,3,1,2,1
2925,3,1,2,1
2932,3,1,2,1
2938,3,1,2,1
2947,3,1,2,1
2954,3,1,2,1
2962,3,1,2,1
2972,3,1,2,1
2980,3,1,2,1
2988,3,1,2,1
2996,3,1,2,1
3003,3,1,2,1
3010,3,1,2,1
3018,3,1,2,1
3025,3,1,2,1
3033,3,1,2,1
3039,3,1,2,1
3048,3,1,2,1
3054,3,1,2,1
3063,3,1,2,1
3069,3,1,2,1
3075,3,1,2,1
3082,3,1,2,1
3089,3,1,2,1
3097,3,1,2,1
3105,3,1,2,1
3112,3,1,2,1
3119,3,1,2,1
3126,3,1,2,1
3134,3,1,2,1
3140,3,1,2,1
3148,3,1,2,1
3155,3,1,2,1
3164,3,1,2,1
3172,3,1,2,1
3181,3,1,2,1
3188,3,1,2,1
3201,3,1,2,1
3214,3,1,2,1
3221,3,1,2,1
3228,3,1,2,1
3235,3,1,2,1
3242,3,1,2,1
3250,3,1,2,1
3256,3,1,2,1
3265,3,1,2,1
3271,3,1,2,1
3279,3,1,2,1
3286,3,1,2,1
3295,3,1,2,1
3302,3,1,2,1
3310,3,1,2,1
3318,3,1,2,1
3324,3,1,2,1
3333,3,1,2,1
3339,3,1,2,1
3348,3,1,2,1
3354,3,1,2,1
3362,3,1,2,1
3369,3,1,2,1
3375,3,1,2,1
3384,3,1,2,1
3390,3,1,2,1
3398,3,1,2,1
3405,3,1,2,1
3413,3,1,2,1
3421,3,1,2,1
3429,3,1,2,1
3436,3,1,2,1
3443,3,1,2,1
3451,3,1,2,1
3457,3,1,2,1
3466,3,1,2,1
3472,3,1,2,1
3481,3,1,2,1
3487,3,1,2,1
3495,3,1,2,1
3503,3,1,2,1
3509,3,1,2,1
3517,3,1,2,1
3524,3,1,2,1
3534,3,1,2,1
3541,3,1,2,1
3550,3,1,2,1
3557,3,1,2,1
3566,3,1,2,1
3572,3,1,2,1
3581,3,1,2,1
3588,3,1,2,1
3596,3,1,2,1
3603,3,1,2,1
3610,3,1,2,1
3617,3,1,2,1
3625,3,1,2,1
3632,3,1,2,1
3639,3,1,2,1
3647,3,1,2,1
3654,3,1,2,1
3662,3,1,2,1
3669,3,1,2,1
3675,3,1,2,1
3684,3,1,2,1
3690,3,1,2,1
3699,3,1,2,1
3705,3,1,2,1
3714,3,1,2,1
3721,3,1,2,1
3727,3,1,2,1
3734,3,1,2,1
3741,3,1,2,1
3748,3,1,2,1
3754,3,1,2,1
3762,3,1,2,1
3768,3,1,2,1
3774,3,1,2,1
3782,3,1,2,1
3789,3,1,2,1
3796,3,1,2,1
3803,3,1,2,1
3809,3,1,2,1
3816,3,1,2,1
3824,3,1,2,1
3832,3,1,2,1
3838,3,1,2,1
3846,3,1,2,1
3854,4,1,2,1
3861,4,1,2,1
3868,4,1,2,1
3874,4,1,2,1
3883,4,1,2,1
3889,4,1,2,1
3897,4,1,2,1
3904,4,1,2,1
3911,4,1,2,1
3919,4,1,2,1
3925,4,1,2,1
3935,4,1,2,1
3942,4,1,2,1
3950,4,1,2,1
3956,4,1,2,1
3965,4,1,2,1
3972,4,1,2,1
3980,4,1,2,1
3988,4,1,2,1
3996,4,1,2,1
4004,4,1,2,1
4013,4,1,2,1
4020,4,1,2,1
4028,4,1,2,1
4035,4,1,2,1
4043,4,1,2,1
4050,4,1,2,1
4056,4,1,2,1
4064,4,1,2,1
4071,4,1,2,1
4079,4,1,2,1
4086,4,1,2,1
4092,4,1,2,1
4101,4,1,2,1
4106,4,1,2,1
4115,4,1,2,1
4122,4,1,2,1
4130,4,1,2,1
4137,4,1,2,1
4147,4,1,2,1
4153,4,1,2,1
4160,4,1,2,1
4168,4,1,2,1
4174,4,1,2,1
4184,4,1,2,1
4189,4,1,2,1
4197,4,1,2,1
4205,4,1,2,1
4212,4,1,2,1
4220,4,1,2,1
4227,4,1,2,1
4234,4,1,2,1
4240,4,1,2,1
4248,4,1,2,1
4254,4,1,2,1
4264,4,1,2,1
4270,4,1,2,1
4278,4,1,2,1
4285,4,1,2,1
4294,4,1,2,1
4305,4,1,2,1
4313,4,1,2,1
4321,4,1,2,1
4329,4,1,2,1
4337,4,1,2,1
4348,4,1,2,1
4354,4,1,2,1
4362,4,1,2,1
4370,4,1,2,1
4378,4,1,2,1
4385,4,1,2,1
4391,4,1,2,1
4401,4,1,2,1
4406,4,1,2,1
4416,4,1,2,1
4422,4,1,2,1
4431,4,1,2,1
4437,4,1,2,1
4446,4,1,2,1
4452,4,1,2,1
4458,4,1,2,1
4467,4,1,2,1
4473,4,1,2,1
4483,4,1,2,1
4489,4,1,2,1
4497,4,1,2,1
4504,4,1,2,1
4512,4,1,2,1
4520,4,1,2,1
4527,4,1,2,1
4534,4,1,2,1
4547,4,1,2,1
4553,4,1,2,1
4561,4,1,2,1
4568,4,1,2,1
4574,4,1,2,1
4583,4,1,2,1
4589,4,1,2,1
4596,4,1,2,1
4604,4,1,2,1
4611,4,1,2,1
4618,4,1,2,1
4627,4,1,2,1
4634,4,1,2,1
4640,4,1,2,1
4648,4,1,2,1
4654,4,1,2,1
4663,4,1,2,1
4669,4,1,2,1
4675,4,1,2,1
4683,4,1,2,1
4689,4,1,2,1
4696,4,1,2,1
4703,4,1,2,1
4711,4,1,2,1
4717,4,1,2,1
4725,4,1,2,1
4733,4,1,2,1
4739,4,1,2,1
4747,4,1,2,1
4753,4,1,2,1
4762,4,1,2,1
4769,4,1,2,1
4775,4,1,2,1
4783,4,1,2,1
4789,4,1,2,1
4797,4,1,2,1
4805,4,1,2,1
4812,4,1,2,1
4821,5,1,2,1
4829,5,1,2,1
4836,5,1,2,1
4843,5,1,2,1
4851,5,1,2,1
4857,5,1,2,1
4868,5,1,2,1
4873,5,1,2,1
4881,5,1,2,1
4888,5,1,2,1
4896,5,1,2,1
4904,5,1,2,1
4912,5,1,2,1
4920,5,1,2,1
4929,5,1,2,1
4937,5,1,2,1
4947,5,1,2,1
4955,5,1,2,1
4966,5,1,2,1
4974,5,1,2,1
4984,5,1,2,1
4992,5,1,2,1
5002,5,1,2,1
5012,5,1,2,1
5020,5,1,2,1
5029,5,1,2,1
5037,5,1,2,1
5047,5,1,2,1
5054,5,1,2,1
5064,5,1,2,1
5071,5,1,2,1
5082,5,1,2,1
5089,5,1,2,1
5098,5,1,2,1
5106,5,1,2,1
5114,5,1,2,1
5122,5,1,2,1
5131,5,1,2,1
