ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
0,0,0,2,1
64,0,0,2,1
116,0,0,2,1
128,0,0,2,1
136,0,0,2,1
146,0,0,2,1
152,0,0,2,1
162,0,0,2,1
168,0,0,2,1
175,0,0,2,1
184,0,0,2,1
191,0,0,2,1
200,0,0,2,1
206,0,0,2,1
214,0,0,2,1
221,0,0,2,1
230,0,0,2,1
236,0,0,2,1
245,0,0,2,1
252,0,0,2,1
261,0,0,2,1
268,0,0,2,1
277,0,0,2,1
285,0,0,2,1
294,0,0,2,1
302,0,0,2,1
309,0,0,2,1
317,0,0,2,1
327,0,0,2,1
334,0,0,2,1
344,0,0,2,1
352,0,0,2,1
363,0,0,2,1
370,0,0,2,1
380,0,0,2,1
388,0,0,2,1
397,0,0,2,1
404,0,0,2,1
412,0,0,2,1
419,0,0,2,1
427,0,0,2,1
434,0,0,2,1
442,0,0,2,1
450,0,0,2,1
457,0,0,2,1
466,0,0,2,1
472,0,0,2,1
480,0,0,2,1
487,0,0,2,1
495,0,0,2,1
503,0,0,2,1
512,0,0,2,1
519,0,0,2,1
529,0,0,2,1
535,0,0,2,1
545,0,0,2,1
552,0,0,2,1
561,0,0,2,1
569,0,0,2,1
579,0,0,2,1
586,0,0,2,1
595,0,0,2,1
603,0,0,2,1
611,0,0,2,1
619,0,0,2,1
627,0,0,2,1
634,0,0,2,1
643,0,0,2,1
650,0,0,2,1
657,0,0,2,1
665,0,0,2,1
671,0,0,2,1
680,0,0,2,1
686,0,0,2,1
695,0,0,2,1
702,0,0,2,1
710,0,0,2,1
717,0,0,2,1
725,0,0,2,1
733,0,0,2,1
739,0,0,2,1
748,0,0,2,1
754,0,0,2,1
764,0,0,2,1
770,0,0,2,1
779,0,0,2,1
785,0,0,2,1
793,0,0,2,1
802,0,0,2,1
809,0,0,2,1
817,0,0,2,1
825,0,0,2,1
832,0,0,2,1
839,0,0,2,1
848,0,0,2,1
855,0,0,2,1
864,0,0,2,1
870,0,0,2,1
879,0,0,2,1
885,0,0,2,1
895,0,0,2,1
901,0,0,2,1
909,1,1,2,1
916,1,1,2,1
924,1,1,2,1
932,1,1,2,1
943,1,1,2,1
950,1,1,2,1
957,1,1,2,1
965,1,1,2,1
972,1,1,2,1
982,1,1,2,1
987,1,1,2,1
996,1,1,2,1
1003,1,1,2,1
1011,1,1,2,1
1018,1,1,2,1
1027,1,1,2,1
1035,1,1,2,1
1043,1,1,2,1
1050,1,1,2,1
1056,1,1,2,1
1065,1,1,2,1
1071,1,1,2,1
1086,1,1,2,1
1094,1,1,2,1
1101,1,1,2,1
1108,1,1,2,1
1116,1,1,2,1
1122,1,1,2,1
1130,1,1,2,1
1136,1,1,2,1
1148,1,1,2,1
1154,1,1,2,1
1162,1,1,2,1
1169,1,1,2,1
1177,1,1,2,1
1184,1,1,2,1
1192,1,1,2,1
1200,1,1,2,1
1207,1,1,2,1
1214,1,1,2,1
1221,1,1,2,1
1229,1,1,2,1
1236,1,1,2,1
1245,1,1,2,1
1252,1,1,2,1
1260,1,1,2,1
1266,1,1,2,1
1273,1,1,2,1
1281,1,1,2,1
1287,1,1,2,1
1295,1,1,2,1
1301,1,1,2,1
1309,1,1,2,1
1317,1,1,2,1
1325,1,1,2,1
1332,1,1,2,1
1339,1,1,2,1
1348,1,1,2,1
1354,1,1,2,1
1363,1,1,2,1
1369,1,1,2,1
1377,1,1,2,1
1384,1,1,2,1
1392,1,1,2,1
1400,1,1,2,1
1406,1,1,2,1
1413,1,1,2,1
1420,1,1,2,1
1429,1,1,2,1
1435,1,1,2,1
1444,1,1,2,1
1451,1,1,2,1
1459,1,1,2,1
1466,1,1,2,1
1472,1,1,2,1
1482,1,1,2,1
1488,1,1,2,1
1497,1,1,2,1
1504,1,1,2,1
1512,1,1,2,1
1519,1,1,2,1
1528,1,1,2,1
1535,1,1,2,1
1543,1,1,2,1
1550,1,1,2,1
1556,1,1,2,1
1565,1,1,2,1
1571,1,1,2,1
1581,1,1,2,1
1587,1,1,2,1
1599,1,1,2,1
1607,1,1,2,1
1615,1,1,2,1
1624,1,1,2,1
1632,1,1,2,1
1638,1,1,2,1
1646,1,1,2,1
1653,1,1,2,1
1662,1,1,2,1
1668,1,1,2,1
1678,1,1,2,1
1685,1,1,2,1
1692,1,1,2,1
1700,1,1,2,1
1707,1,1,2,1
1714,1,1,2,1
1722,1,1,2,1
1731,1,1,2,1
1737,1,1,2,1
1745,1,1,2,1
1751,1,1,2,1
1760,1,1,2,1
1767,1,1,2,1
1774,1,1,2,1
1782,1,1,2,1
1788,1,1,2,1
1796,1,1,2,1
1804,1,1,2,1
1813,1,1,2,1
1820,1,1,2,1
1828,1,1,2,1
1835,1,1,2,1
1845,1,1,2,1
1852,1,1,2,1
1861,1,1,2,1
1868,1,1,2,1
1875,1,1,2,1
1884,1,1,2,1
1892,1,1,2,1
1901,1,1,2,1
1909,1,1,2,1
1917,1,1,2,1
1926,1,1,2,1
1933,1,1,2,1
1942,1,1,2,1
1950,1,1,2,1
1958,2,2,2,1
1967,2,2,2,1
1975,2,2,2,1
1983,2,2,2,1
1990,2,2,2,1
2000,2,2,2,1
2006,2,2,2,1
2015,2,2,2,1
2022,2,2,2,1
2031,2,2,2,1
2037,2,2,2,1
2046,2,2,2,1
2053,2,2,2,1
2061,2,2,2,1
2067,2,2,2,1
2074,2,2,2,1
2083,2,2,2,1
2091,2,2,2,1
2100,2,2,2,1
2108,2,2,2,1
2116,2,2,2,1
2124,2,2,2,1
2131,2,2,2,1
2137,2,2,2,1
2147,2,2,2,1
2154,2,2,2,1
2165,2,2,2,1
2171,2,2,2,1
2184,2,2,2,1
2196,2,2,2,1
2206,2,2,2,1
2219,2,2,2,1
2227,2,2,2,1
2234,2,2,2,1
2242,2,2,2,1
2249,2,2,2,1
2256,2,2,2,1
2265,2,2,2,1
2273,2,2,2,1
2281,2,2,2,1
2287,2,2,2,1
2296,2,2,2,1
2302,2,2,2,1
2310,2,2,2,1
2317,2,2,2,1
2326,2,2,2,1
2333,2,2,2,1
2341,2,2,2,1
2349,2,2,2,1
2354,2,2,2,1
2362,2,2,2,1
2370,2,2,2,1
2379,2,2,2,1
2385,2,2,2,1
2393,2,2,2,1
2400,2,2,2,1
2407,2,2,2,1
2415,2,2,2,1
2422,2,2,2,1
2431,2,2,2,1
2437,2,2,2,1
2445,2,2,2,1
2452,2,2,2,1
2460,2,2,2,1
2467,2,2,2,1
2474,2,2,2,1
2482,2,2,2,1
2489,2,2,2,1
2497,2,2,2,1
2504,2,2,2,1
2512,2,2,2,1
2519,2,2,2,1
2527,2,2,2,1
2534,2,2,2,1
2541,2,2,2,1
2549,2,2,2,1
2556,2,2,2,1
2564,2,2,2,1
2570,2,2,2,1
2580,2,2,2,1
2586,2,2,2,1
2594,2,2,2,1
2602,2,2,2,1
2610,2,2,2,1
2617,2,2,2,1
2627,2,2,2,1
2634,2,2,2,1
2643,2,2,2,1
2649,2,2,2,1
2656,2,2,2,1
2664,2,2,2,1
2670,2,2,2,1
2679,2,2,2,1
2686,2,2,2,1
2693,2,2,2,1
2701,2,2,2,1
2708,2,2,2,1
2715,2,2,2,1
2721,2,2,2,1
2730,2,2,2,1
2737,2,2,2,1
2746,2,2,2,1
2752,2,2,2,1
2761,2,2,2,1
2767,2,2,2,1
2774,2,2,2,1
2783,2,2,2,1
2789,2,2,2,1
2797,2,2,2,1
2804,2,2,2,1
2812,2,2,2,1
2819,2,2,2,1
2828,2,2,2,1
2835,2,2,2,1
2844,2,2,2,1
2851,2,2,2,1
2858,2,2,2,1
2866,2,2,2,1
2874,2,2,2,1
2882,2,2,2,1
2889,2,2,2,1
2896,2,2,2,1
2904,2,2,2,1
2913,2,2,2,1
2920,2,2,2,1
2928,2,2,2,1
2935,2,2,2,1
2944,2,2,2,1
2950,2,2,2,1
2958,2,2,2,1
2966,2,2,2,1
2974,3,3,2,1
2982,3,3,2,1
2989,3,3,2,1
2996,3,3,2,1
3003,3,3,2,1
3013,3,3,2,1
3020,3,3,2,1
3031,3,3,2,1
3037,3,3,2,1
3047,3,3,2,1
3054,3,3,2,1
3065,3,3,2,1
3070,3,3,2,1
3079,3,3,2,1
3085,3,3,2,1
3094,3,3,2,1
3102,3,3,2,1
3110,3,3,2,1
3116,3,3,2,1
3125,3,3,2,1
3132,3,3,2,1
3140,3,3,2,1
3147,3,3,2,1
3154,3,3,2,1
3162,3,3,2,1
3169,3,3,2,1
3181,3,3,2,1
3187,3,3,2,1
3195,3,3,2,1
3203,3,3,2,1
3212,3,3,2,1
3218,3,3,2,1
3226,3,3,2,1
3233,3,3,2,1
3242,3,3,2,1
3249,3,3,2,1
3255,3,3,2,1
3263,3,3,2,1
3269,3,3,2,1
3277,3,3,2,1
