ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
1,0,0,2,1
56,0,0,2,1
105,0,0,2,1
114,0,0,2,1
122,0,0,2,1
131,0,0,2,1
138,0,0,2,1
146,0,0,2,1
154,0,0,2,1
162,0,0,2,1
170,0,0,2,1
177,0,0,2,1
186,0,0,2,1
193,0,0,2,1
202,0,0,2,1
208,0,0,2,1
216,0,0,2,1
224,0,0,2,1
233,0,0,2,1
239,0,0,2,1
247,0,0,2,1
254,0,0,2,1
262,0,0,2,1
269,0,0,2,1
275,0,0,2,1
286,0,0,2,1
292,0,0,2,1
301,0,0,2,1
307,0,0,2,1
316,0,0,2,1
324,0,0,2,1
331,0,0,2,1
338,0,0,2,1
346,0,0,2,1
353,0,0,2,1
358,0,0,2,1
367,0,0,2,1
373,0,0,2,1
384,0,0,2,1
390,0,0,2,1
398,0,0,2,1
404,0,0,2,1
411,0,0,2,1
419,0,0,2,1
425,0,0,2,1
433,0,0,2,1
440,0,0,2,1
447,0,0,2,1
453,0,0,2,1
461,0,0,2,1
468,0,0,2,1
475,0,0,2,1
485,0,0,2,1
492,0,0,2,1
500,0,0,2,1
506,0,0,2,1
513,0,0,2,1
520,0,0,2,1
528,0,0,2,1
536,0,0,2,1
543,0,0,2,1
551,0,0,2,1
557,0,0,2,1
567,0,0,2,1
574,0,0,2,1
583,0,0,2,1
590,0,0,2,1
598,0,0,2,1
605,1,1,2,1
613,1,1,2,1
621,1,1,2,1
627,1,1,2,1
637,1,1,2,1
645,1,1,2,1
653,1,1,2,1
661,1,1,2,1
669,1,1,2,1
675,1,1,2,1
685,1,1,2,1
691,1,1,2,1
699,1,1,2,1
706,1,1,2,1
714,1,1,2,1
722,1,1,2,1
729,1,1,2,1
737,1,1,2,1
744,1,1,2,1
752,1,1,2,1
758,1,1,2,1
767,1,1,2,1
774,1,1,2,1
783,1,1,2,1
790,1,1,2,1
798,1,1,2,1
805,1,1,2,1
813,1,1,2,1
821,1,1,2,1
828,1,1,2,1
839,1,1,2,1
848,1,1,2,1
855,1,1,2,1
865,1,1,2,1
873,1,1,2,1
884,1,1,2,1
891,1,1,2,1
901,1,1,2,1
907,1,1,2,1
916,1,1,2,1
923,1,1,2,1
930,1,1,2,1
937,1,1,2,1
945,1,1,2,1
951,1,1,2,1
959,1,1,2,1
968,1,1,2,1
974,1,1,2,1
982,1,1,2,1
989,1,1,2,1
996,1,1,2,1
1003,1,1,2,1
1011,1,1,2,1
1019,1,1,2,1
1025,1,1,2,1
1033,1,1,2,1
1039,1,1,2,1
1046,1,1,2,1
1053,1,1,2,1
1060,1,1,2,1
1068,1,1,2,1
1073,1,1,2,1
1089,1,1,2,1
1098,1,1,2,1
1105,1,1,2,1
1113,1,1,2,1
1122,1,1,2,1
1131,1,1,2,1
1139,1,1,2,1
1147,1,1,2,1
1154,1,1,2,1
1162,1,1,2,1
1169,1,1,2,1
1175,1,1,2,1
1183,1,1,2,1
1196,1,1,2,1
1203,2,2,2,1
1209,2,2,2,1
1216,2,2,2,1
1224,2,2,2,1
1232,2,2,2,1
1239,2,2,2,1
1251,2,2,2,1
1257,2,2,2,1
1266,2,2,2,1
1273,2,2,2,1
1282,2,2,2,1
1288,2,2,2,1
1297,2,2,2,1
1304,2,2,2,1
1310,2,2,2,1
1317,2,2,2,1
1325,2,2,2,1
1332,2,2,2,1
1340,2,2,2,1
1348,2,2,2,1
1355,2,2,2,1
1363,2,2,2,1
1370,2,2,2,1
1378,2,2,2,1
1386,2,2,2,1
1393,2,2,2,1
1401,2,2,2,1
1407,2,2,2,1
1415,2,2,2,1
1423,2,2,2,1
1430,2,2,2,1
1438,2,2,2,1
1445,2,2,2,1
1456,2,2,2,1
1464,2,2,2,1
1472,2,2,2,1
1480,2,2,2,1
1489,2,2,2,1
1497,2,2,2,1
1504,2,2,2,1
1511,2,2,2,1
1519,2,2,2,1
1528,2,2,2,1
1536,2,2,2,1
1542,2,2,2,1
1551,2,2,2,1
1557,2,2,2,1
1565,2,2,2,1
1571,2,2,2,1
1581,2,2,2,1
1587,2,2,2,1
1595,2,2,2,1
1602,2,2,2,1
1609,2,2,2,1
1617,2,2,2,1
1625,2,2,2,1
1633,2,2,2,1
1640,2,2,2,1
1647,2,2,2,1
1654,2,2,2,1
1661,2,2,2,1
1668,2,2,2,1
1675,2,2,2,1
1682,2,2,2,1
1689,2,2,2,1
1697,2,2,2,1
1704,2,2,2,1
1712,2,2,2,1
1719,2,2,2,1
1728,2,2,2,1
1735,2,2,2,1
1741,2,2,2,1
1749,2,2,2,1
1756,2,2,2,1
1765,2,2,2,1
1771,2,2,2,1
1779,2,2,2,1
1788,2,2,2,1
1800,2,2,2,1
1807,2,2,2,1
1816,3,3,2,1
1824,3,3,2,1
1832,3,3,2,1
1838,3,3,2,1
1846,3,3,2,1
1853,3,3,2,1
1864,3,3,2,1
1871,3,3,2,1
1881,3,3,2,1
1889,3,3,2,1
1897,3,3,2,1
1904,3,3,2,1
1911,3,3,2,1
1919,3,3,2,1
1926,3,3,2,1
1934,3,3,2,1
1942,3,3,2,1
1949,3,3,2,1
1956,3,3,2,1
1965,3,3,2,1
1972,3,3,2,1
1978,3,3,2,1
1986,3,3,2,1
1992,3,3,2,1
2001,3,3,2,1
2008,3,3,2,1
2016,3,3,2,1
2023,3,3,2,1
2031,3,3,2,1
2038,3,3,2,1
2046,3,3,2,1
2053,3,3,2,1
2061,3,3,2,1
2071,3,3,2,1
2080,3,3,2,1
2087,3,3,2,1
2094,3,3,2,1
2103,3,3,2,1
2110,3,3,2,1
2117,3,3,2,1
2124,3,3,2,1
2132,3,3,2,1
2138,3,3,2,1
2146,3,3,2,1
2154,3,3,2,1
2161,3,3,2,1
2168,3,3,2,1
2175,3,3,2,1
2184,3,3,2,1
2190,3,3,2,1
2202,3,3,2,1
2208,3,3,2,1
2217,3,3,2,1
2233,3,3,2,1
2239,3,3,2,1
2248,3,3,2,1
2254,3,3,2,1
2261,3,3,2,1
2268,3,3,2,1
2275,3,3,2,1
2283,3,3,2,1
2289,3,3,2,1
2297,3,3,2,1
2305,3,3,2,1
2312,3,3,2,1
2319,3,3,2,1
2327,3,3,2,1
2334,3,3,2,1
2341,3,3,2,1
2349,3,3,2,1
2357,3,3,2,1
2365,4,4,2,1
2371,4,4,2,1
2379,4,4,2,1
2386,4,4,2,1
2393,4,4,2,1
2403,4,4,2,1
2409,4,4,2,1
2417,4,4,2,1
2424,4,4,2,1
2433,4,4,2,1
2440,4,4,2,1
2448,4,4,2,1
2455,4,4,2,1
2463,4,4,2,1
2473,4,4,2,1
2482,4,4,2,1
2489,4,4,2,1
2497,4,4,2,1
2505,4,4,2,1
2512,4,4,2,1
2522,4,4,2,1
2529,4,4,2,1
2537,4,4,2,1
2546,4,4,2,1
2554,4,4,2,1
2562,4,4,2,1
2570,4,4,2,1
2578,4,4,2,1
2586,4,4,2,1
2593,4,4,2,1
2601,4,4,2,1
2607,4,4,2,1
2615,4,4,2,1
2622,4,4,2,1
2630,4,4,2,1
2637,4,4,2,1
2646,4,4,2,1
2653,4,4,2,1
2659,4,4,2,1
2666,4,4,2,1
2676,4,4,2,1
2684,4,4,2,1
2690,4,4,2,1
2698,4,4,2,1
2705,4,4,2,1
2712,4,4,2,1
2719,4,4,2,1
2727,4,4,2,1
2735,4,4,2,1
2742,4,4,2,1
2750,4,4,2,1
2757,4,4,2,1
2766,4,4,2,1
2773,4,4,2,1
2782,4,4,2,1
2790,4,4,2,1
2797,4,4,2,1
2805,4,4,2,1
2813,4,4,2,1
2821,4,4,2,1
2827,5,5,2,1
2835,5,5,2,1
2843,5,5,2,1
2849,5,5,2,1
2856,5,5,2,1
2865,5,5,2,1
2871,5,5,2,1
2884,5,5,2,1
2891,5,5,2,1
2899,5,5,2,1
2908,5,5,2,1
2916,5,5,2,1
2923,5,5,2,1
2930,5,5,2,1
2938,5,5,2,1
2946,5,5,2,1
2952,5,5,2,1
2960,5,5,2,1
2967,5,5,2,1
2975,5,5,2,1
2983,5,5,2,1
2990,5,5,2,1
2998,5,5,2,1
3006,5,5,2,1
3012,5,5,2,1
3018,5,5,2,1
3025,5,5,2,1
3033,5,5,2,1
3041,5,5,2,1
3049,5,5,2,1
3056,5,5,2,1
3065,5,5,2,1
3071,5,5,2,1
3078,5,5,2,1
3090,5,5,2,1
3101,5,5,2,1
3111,5,5,2,1
3121,5,5,2,1
3130,5,5,2,1
3137,5,5,2,1
3145,5,5,2,1
3152,5,5,2,1
3161,5,5,2,1
3169,5,5,2,1
3180,5,5,2,1
3187,5,5,2,1
3199,5,5,2,1
3206,5,5,2,1
3214,5,5,2,1
3221,5,5,2,1
3229,5,5,2,1
3235,5,5,2,1
3242,5,5,2,1
3250,5,5,2,1
3256,5,5,2,1
3264,5,5,2,1
3270,5,5,2,1
3277,5,5,2,1
3285,5,5,2,1
3294,5,5,2,1
3302,5,5,2,1
3308,5,5,2,1
3315,5,5,2,1
3322,5,5,2,1
3329,5,5,2,1
3336,5,5,2,1
3343,5,5,2,1
3350,5,5,2,1
3357,5,5,2,1
3371,5,5,2,1
3380,5,5,2,1
3387,5,5,2,1
3396,5,5,2,1
3404,5,5,2,1
3412,5,5,2,1
3419,5,5,2,1
3429,5,5,2,1
3436,5,5,2,1
3445,5,5,2,1
3451,5,5,2,1
3457,5,5,2,1
3466,6,6,2,1
3472,6,6,2,1
3481,6,6,2,1
3487,6,6,2,1
3498,6,6,2,1
3505,6,6,2,1
3514,6,6,2,1
3521,6,6,2,1
3530,6,6,2,1
3537,6,6,2,1
3545,6,6,2,1
3554,6,6,2,1
3563,6,6,2,1
3570,6,6,2,1
3578,6,6,2,1
3586,6,6,2,1
3594,6,6,2,1
3601,6,6,2,1
3608,6,6,2,1
3615,6,6,2,1
3622,6,6,2,1
3630,6,6,2,1
3638,6,6,2,1
3646,6,6,2,1
3653,6,6,2,1
3660,6,6,2,1
3668,6,6,2,1
3676,6,6,2,1
3684,6,6,2,1
3691,6,6,2,1
3702,6,6,2,1
3708,6,6,2,1
3715,6,6,2,1
3722,6,6,2,1
3730,6,6,2,1
3737,6,6,2,1
3745,6,6,2,1
3753,6,6,2,1
3762,6,6,2,1
3768,6,6,2,1
3776,6,6,2,1
3784,6,6,2,1
3792,6,6,2,1
3801,6,6,2,1
3808,6,6,2,1
3814,6,6,2,1
3822,6,6,2,1
3829,6,6,2,1
3836,6,6,2,1
3843,6,6,2,1
3851,6,6,2,1
3858,6,6,2,1
3866,6,6,2,1
3872,6,6,2,1
3881,6,6,2,1
3889,6,6,2,1
3898,6,6,2,1
3906,6,6,2,1
3914,6,6,2,1
3921,6,6,2,1
3929,6,6,2,1
3937,6,6,2,1
3946,6,6,2,1
3953,6,6,2,1
3962,6,6,2,1
3968,6,6,2,1
3975,6,6,2,1
3983,6,6,2,1
3990,6,6,2,1
3997,6,6,2,1
4004,6,6,2,1
4012,6,6,2,1
4018,6,6,2,1
4025,6,6,2,1
4032,6,6,2,1
4038,6,6,2,1
4047,6,6,2,1
4054,6,6,2,1
4062,6,6,2,1
4069,6,6,2,1
4077,6,6,2,1
4085,6,6,2,1
4093,6,6,2,1
4100,6,6,2,1
4107,6,6,2,1
4115,6,6,2,1
4122,6,6,2,1
4129,6,6,2,1
4137,6,6,2,1
4145,6,6,2,1
4152,6,6,2,1
4159,6,6,2,1
4167,6,6,2,1
4174,6,6,2,1
4182,7,7,2,1
4190,7,7,2,1
4197,7,7,2,1
4210,7,7,2,1
4218,7,7,2,1
4227,7,7,2,1
4233,7,7,2,1
4241,7,7,2,1
4248,7,7,2,1
4255,7,7,2,1
4263,7,7,2,1
4269,7,7,2,1
4278,7,7,2,1
4285,7,7,2,1
4292,7,7,2,1
4300,7,7,2,1
4307,7,7,2,1
4315,7,7,2,1
4322,7,7,2,1
4330,7,7,2,1
4338,7,7,2,1
4343,7,7,2,1
4349,7,7,2,1
4358,7,7,2,1
4366,7,7,2,1
4374,7,7,2,1
4381,7,7,2,1
4389,7,7,2,1
4397,7,7,2,1
4404,7,7,2,1
4411,7,7,2,1
4417,7,7,2,1
4424,7,7,2,1
4431,7,7,2,1
4438,7,7,2,1
4446,7,7,2,1
4454,7,7,2,1
4462,7,7,2,1
4468,7,7,2,1
4477,7,7,2,1
4485,7,7,2,1
4492,7,7,2,1
4501,7,7,2,1
4516,7,7,2,1
4524,7,7,2,1
4533,7,7,2,1
4541,7,7,2,1
4551,7,7,2,1
4560,7,7,2,1
4570,7,7,2,1
4584,7,7,2,1
4596,7,7,2,1
4606,7,7,2,1
4617,7,7,2,1
4634,7,7,2,1
4644,7,7,2,1
4655,7,7,2,1
4666,7,7,2,1
4677,7,7,2,1
4689,7,7,2,1
4701,7,7,2,1
4710,7,7,2,1
4720,7,7,2,1
4730,7,7,2,1
4738,7,7,2,1
4751,7,7,2,1
4762,7,7,2,1
4772,7,7,2,1
4781,7,7,2,1
4790,7,7,2,1
4803,7,7,2,1
4813,7,7,2,1
4822,7,7,2,1
4833,7,7,2,1
4842,7,7,2,1
4850,7,7,2,1
4857,7,7,2,1
4866,7,7,2,1
4872,7,7,2,1
4882,7,7,2,1
4889,7,7,2,1
4899,7,7,2,1
4907,7,7,2,1
4916,7,7,2,1
4924,7,7,2,1
4935,7,7,2,1
4944,7,7,2,1
4952,7,7,2,1
4960,7,7,2,1
4969,7,7,2,1
4976,7,7,2,1
4986,7,7,2,1
4993,7,7,2,1
5001,7,7,2,1
5008,7,7,2,1
5018,7,7,2,1
5026,7,7,2,1
5036,7,7,2,1
5046,7,7,2,1
5055,7,7,2,1
5065,7,7,2,1
5072,7,7,2,1
5082,7,7,2,1
5089,7,7,2,1
5099,7,7,2,1
5106,7,7,2,1
5114,7,7,2,1
5121,7,7,2,1
5130,7,7,2,1
5137,7,7,2,1
5147,7,7,2,1
5154,7,7,2,1
5163,7,7,2,1
5170,7,7,2,1
5179,7,7,2,1
5188,7,7,2,1
5197,8,8,2,1
5204,8,8,2,1
5215,8,8,2,1
5221,8,8,2,1
5230,8,8,2,1
5237,8,8,2,1
5246,8,8,2,1
5254,8,8,2,1
5262,8,8,2,1
5269,8,8,2,1
5277,8,8,2,1
5285,8,8,2,1
5292,8,8,2,1
5301,8,8,2,1
5307,8,8,2,1
5315,8,8,2,1
5323,8,8,2,1
5331,8,8,2,1
5342,8,8,2,1
5349,8,8,2,1
5356,8,8,2,1
5366,8,8,2,1
5372,8,8,2,1
5381,8,8,2,1
5388,8,8,2,1
5397,8,8,2,1
5404,8,8,2,1
